"№ п\п";"Регистрационный
номер маршрута
регулярных перевозок";"Порядковый номер
маршрута регулярных
перевозок, который
присвоен ему
организатором перевозок";"Наименование маршрута
регулярных перевозок
в виде наименования
начального остановочного
пункта и конечного
остановочного пункта
по маршруту регулярных
перевозок или в
виде наименований
поселений, в
границах которых
расположены начаный
остановочный пункт
и конечный остановочный
пункт по данному маршруту";"Наименования промежуточных
остановочных пунктов
по маршруту регулярных
перевозок или наименования
поселений, в границах
которых расположены
промежуточные остановочные
пункты";"Наименования улиц,
автомобильных дорог,
по которым предполагается
движение транспортных
средств между
остановочными пунктами
по маршруту регулярных
перевозок";"Протяженность маршрута
регулярных перевозок";"Порядок посадки и
высадки пассажиров(только
в установленных остановочных
пункта или если это
не запрещено действующим
законодательством, в
любом не запрещенном правилами
дорожного движения месте
по маршруту регулярных
перевозок)";"Вид регулярных
перевозок";"Виды транспортных средств";"Классы транспортных средств";"Максимальное количество
транспортных средств каждого класса";"Экологические
характеристики
транспортных средств,
которые используются
для перевозок по маршруту
регулярных перевозок";"Дата начала
осуществления регулярных
"188";"188";"346";"г. Новочеркасск – п. Персиановский ";"г. Новочеркасск, ул. Котовского";"г. Новочеркасск, пр-кт. Платовский,
г. Новочеркасск, ул. Московская,
г. Новочеркасск, пл. Троицкая,
г. Новочеркасск, спуск. Герцена,
г. Новочеркасск, ул. Гагарина,
г. Новочеркасск, ул. Трамвайная,
г. Новочеркасск, ул. Харьковская,
г. Новочеркасск, ш. Харьковское,
г. Новочеркасск, ул. Калинина,
г. Новочеркасск, ул. Котовского,
г. Новочеркасск, ул. Чехова,
г. Новочеркасск, ул. Мацоты,
г. Новочеркасск, ш. Харьковское,
автомобильная дорога 60 ОП МЗ 60Н-248,
п. Персиановский, ул. Школьная";"15.5";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"2";"Euro не установлено";"15.05.2018";"ООО «Новочеркасские пассажирские перевозки»";"346421, Ростовская область, г. Новочеркасск, ул. Буденновская, 192"
"189";"189";"350";"г. Новочеркасск – г. Ростов-на-Дону ";"ст-ца. Грушевская (поворот),
Крестьянское,
п. Красный Колос,
п. Красный (поворот),
трасса Ростов-Щепкино (поворот),
п. Рассвет (Институт),
п. Рассвет (УчХоз),
п. Степной (поворот),
п. Ковалевка (поворот),
Сады,
г. Аксай,
г. Аксай, пр-кт. Аксайский (Оптовый рынок)";"г. Новочеркасск, пр-кт. Баклановский,
г. Новочеркасск, ул. Ростовское шоссе,
автомобильная дорога 60 ОП РЗ 60К-76,
автомобильная дорога М-4 'Дон',
г. Аксай, пр-кт. Аксайский,
г. Ростов-на-Дону, пр-кт. Шолохова";"33.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Средний";"8";"Euro не установлено";"15.05.2018";"ООО «Новочеркасские пассажирские перевозки»";"346421, Ростовская область, г. Новочеркасск, ул. Буденновская, 192"
"190";"190";"350/1";"г. Новочеркасск – г. Ростов-на-Дону ";"г. Новочеркасск (Автовокзал)";"г. Новочеркасск, пр-кт. Платовский,
г. Новочеркасск, ул. Московская,
г. Новочеркасск, пл. Троицкая,
г. Новочеркасск, пр-кт. Баклановский,
г. Новочеркасск, пл. Юбилейная,
г. Новочеркасск, пр-кт. Баклановский,
г. Новочеркасск, ул. Ростовское шоссе,
автомобильная дорога 60 ОП РЗ 60К-76,
автомобильная дорога М-4 'Дон',
г. Аксай, пр-кт. Аксайский,
г. Ростов-на-Дону, пр-кт. Шолохова";"40.5";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"5";"не ниже Euro-2";"15.05.2018";"ООО «Новочеркасские пассажирские перевозки»";"346421, Ростовская область, г. Новочеркасск, ул. Буденновская, 192"
"191";"191";"348";"г. Новочеркасск – г. Ростов-на-Дону ";"г. Новочеркасск (Автовокзал)";"г. Новочеркасск, ул. Клещева,
г. Новочеркасск, ул. Заводская,
г. Новочеркасск, ул. Машиностроителей,
г. Новочеркасск, ул. Трамвайная,
г. Новочеркасск, ул. Гагарина,
г. Новочеркасск, спуск. Герцена,
г. Новочеркасск, пл. Троицкая,
г. Новочеркасск, пр-кт. Баклановский,
г. Новочеркасск, пл. Юбилейная,
г. Новочеркасск, пр-кт. Баклановский,
г. Новочеркасск, ул. Ростовское шоссе,
автомобильная дорога 60 ОП РЗ 60К-76,
автомобильная дорога М-4 'Дон',
г. Аксай, пр-кт. Аксайский,
г. Ростов-на-Дону, пр-кт. Шолохова";"49.5";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"не ниже Euro-2";"15.05.2018";"ООО «Новочеркасские пассажирские перевозки»";"346421, Ростовская область, г. Новочеркасск, ул. Буденновская, 192"
"192";"192";"349";"г. Новочеркасск – г. Ростов-на-Дону (р-к Темерник) ";"";"г. Новочеркасск, пр-кт. Платовский,
г. Новочеркасск, ул. Московская,
г. Новочеркасск, пл. Троицкая,
г. Новочеркасск, пр-кт. Баклановский,
г. Новочеркасск, пл. Юбилейная,
г. Новочеркасск, пр-кт. Баклановский,
г. Новочеркасск, ул. Ростовское шоссе,
автомобильная дорога 60 ОП РЗ 60К-76,
автомобильная дорога М-4 'Дон',
г. Аксай, пр-кт. Аксайский,
г. Ростов-на-Дону, ул. Малое Зеленое Кольцо,
г. Ростов-на-Дону, ул. Днепропетровская,
г. Ростов-на-Дону, ул. Панфиловцев,
г. Ростов-на-Дону, ул. Вятская,
г. Ростов-на-Дону, ул. Штахановского,
г. Ростов-на-Дону, ул. Лелюшенко";"41.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"Euro не установлено";"15.05.2018";"ООО «Новочеркасские пассажирские перевозки»";"346421, Ростовская область, г. Новочеркасск, ул. Буденновская, 192"
"193";"193";"351/1";"г. Новочеркасск – г. Шахты ";"п. Персиановский,
п. Верхнегрушевский,
рп. Каменоломни";"г. Новочеркасск, пр-кт. Платовский,
г. Новочеркасск, ул. Московская,
г. Новочеркасск, пл. Троицкая,
г. Новочеркасск, спуск. Герцена,
г. Новочеркасск, ул. Гагарина,
г. Новочеркасск, ул. Трамвайная,
г. Новочеркасск, ул. Харьковская,
г. Новочеркасск, ш. Харьковское,
автомобильная дорога 60 ОП МЗ 60Н-248,
п. Персиановский, ул. Школьная,
автомобильная дорога 60 ОП МЗ 60Н-248,
рп. Каменоломни, ул. Комсомольская,
рп. Каменоломни, ул. им Крупской,
рп. Каменоломни, пер. Шоссейный,
г. Шахты, пр-кт. Победа Революции,
г. Шахты, ул. Державина,
г. Шахты, пер. Черенкова,
г. Шахты, ул. Халтурина";"38.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"4";"Euro не установлено";"02.03.2018";"ИП Шаинидзе Ревази Мухамедович";""
"194";"194";"351/4";"г. Новочеркасск – г. Шахты ";"п. Персиановский (ДонГАУ),
п. Казачьи Лагери,
п. Верхнегрушевский,
рп. Каменоломни";"г. Новочеркасск, пр-кт. Баклановский,
г. Новочеркасск, пл. Юбилейная,
г. Новочеркасск, пр-кт. Баклановский,
г. Новочеркасск, пл. Троицкая,
г. Новочеркасск, спуск. Герцена,
г. Новочеркасск, ул. Гагарина,
г. Новочеркасск, ул. Трамвайная,
г. Новочеркасск, ул. Харьковская,
г. Новочеркасск, ш. Харьковское,
автомобильная дорога 60 ОП МЗ 60Н-248,
п. Персиановский, ул. Школьная,
автомобильная дорога 60 ОП МЗ 60Н-248,
рп. Каменоломни, ул. Комсомольская,
рп. Каменоломни, ул. им Крупской,
рп. Каменоломни, пер. Шоссейный,
г. Шахты, пр-кт. Победа Революции";"36.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Средний";"2";"не ниже Euro-2";"15.05.2018";"ООО «Новочеркасские пассажирские перевозки»";"346421, Ростовская область, г. Новочеркасск, ул. Буденновская, 192"
"195";"195";"351/2";"г. Новочеркасск – г. Шахты";"г. Новочеркасск, пл. Троицкая,
г. Новочеркасск, Хотунок-2,
г. Новочеркасск, мкр. Октябрьский,
п. Персиановский (ДГАУ),
п. Персиановский, поворот на сл. Красюковская,
п. Казачьи Лагери,
п. Верхнегрушевский,
рп. Каменоломни";"г. Новочеркасск, пр-кт. Платовский,
г. Новочеркасск, ул. Пушкинская,
г. Новочеркасск, пр-кт. Баклановский,
г. Новочеркасск, пл. Троицкая,
г. Новочеркасск, спуск. Герцена,
г. Новочеркасск, ул. Гагарина,
г. Новочеркасск, ул. Трамвайная,
г. Новочеркасск, ул. Харьковская,
г. Новочеркасск, ш. Харьковское,
автомобильная дорога 60 ОП МЗ 60Н-248,
п. Персиановский, ул. Школьная,
автомобильная дорога 60 ОП МЗ 60Н-248,
рп. Каменоломни, ул. Комсомольская,
рп. Каменоломни, ул. им Крупской,
рп. Каменоломни, пер. Шоссейный,
г. Шахты, пр-кт. Победа Революции,
г. Шахты, ул. Державина,
г. Шахты, пер. Черенкова,
г. Шахты, ул. Халтурина";"37.6";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"2";"Euro не установлено";"15.05.2018";"ООО «Новочеркасские пассажирские перевозки»";"346421, Ростовская область, г. Новочеркасск, ул. Буденновская, 192"
"196";"196";"371";"г. Новошахтинск (АС) – х. Б. Должик – г. Новошахтинск (АС)";"г. Новошахтинск, ул. Базарная (АС),
г. Новошахтинск, ул. Советской Конституции (Баня),
г. Новошахтинск, ул. Красный Проспект,
г. Новошахтинск, мкр. Петровский,
г. Новошахтинск, кладбище,
г. Новошахтинск, Бугултай,
Шахта 19,
с. Алексеевка,
х. Шевченко,
х. Авилов,
х. Должик-1,
х. Большой Должик";"г. Новошахтинск, ул. Базарная,
г. Новошахтинск, пр-кт. Ленина,
г. Новошахтинск, ул. Советской Конституции,
г. Новошахтинск, ул. Красный Проспект,
г. Новошахтинск, ул. Казахстанская,
автомобильная дорога 60 ОП МЗ 60Н-52";"25.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Средний";"1";"Euro не установлено";"15.02.2013";"ООО «Новошахтинское ПАТП»";"346916, Ростовская область, г. Новошахтинск, ул. Трамвайная, д. 5в  "
"197";"197";"372";"г. Новошахтинск – с. Ильичевка";"Баня (г. Новошахтинск),
Сенная (г. Новошахтинск),
Школа № 40 (г. Новошахтинск),
Зал царств (г. Новошахтинск),
г. Новошахтинск, ул. Мичурина,
г. Новошахтинск, ул. Горького,
Детский сад (г. Новошахтинск),
Ильичевка-1,
Ильичевка-2";"г. Новошахтинск, ул. Базарная,
г. Новошахтинск, пр-кт. Ленина,
г. Новошахтинск, ул. Советской Конституции,
г. Новошахтинск, ул. Мичурина,
г. Новошахтинск, ул. Горького,
г. Новошахтинск, ул. Мира,
х. Ильичевка, ул. Победы Революции";"5.3";"только в установленных остановочных пунктах";"По нерегулируемым тарифам";"Автобус";"Особо малый";"6";"Euro не установлено";"29.12.2017";"ООО «Автотранс»";"346918, Ростовская область, г. Новошахтинск, ул. Советской Конституции, 7 в"
"198";"198";"376";"г. Новошахтинск – х. Калиновка";"г. Новошахтинск, ул. Базарная (АС),
г. Новошахтинск, пр-кт. Ленина (Музыкальная школа),
г. Новошахтинск (Дом культуры),
г. Новошахтинск, ул. Харьковская (Автовокзал),
Лесхоз,
Дачи,
х. Новопавловка,
Калиновка 1,
х. Калинин";"г. Новошахтинск, ул. Базарная,
г. Новошахтинск, пр-кт. Ленина,
г. Новошахтинск, ул. Харьковская,
автодорога Новошахтинск - Новопавловка - Калинин,
х. Калинин, ул. Центральная";"9.2";"только в установленных остановочных пунктах";"По нерегулируемым тарифам";"Автобус";"Средний";"1";"Euro не установлено";"06.10.2017";"ООО «Южная Пассажирская Компания»";"346580, Ростовская область, Родионово-Несветайский район, сл. Родионово-Несветайская, ул. Гвардейцев-Танкистов, 4б"
"199";"199";"373";"г. Новошахтинск – с. Киселево";"Муз. школа (г. Новошахтинск),
Дворец (г. Новошахтинск),
Автовокзал (г. Новошахтинск),
Швейная фабрика (г. Новошахтинск),
г. Новошахтинск, ул. Городская,
Университетская (г. Новошахтинск),
Дом связи (г. Новошахтинск),
Микрорайон (г. Новошахтинск),
г. Новошахтинск, ул. Западная,
г. Новошахтинск, ул. Заводская,
г. Новошахтинск, ул. Лебедева,
г. Новошахтинск, ул. Молодогвардейцев,
г. Новошахтинск, ул. Водострой";"г. Новошахтинск, ул. Базарная,
г. Новошахтинск, пр-кт. Ленина,
г. Новошахтинск, ул. Харьковская,
г. Новошахтинск, ул. Демократическая,
г. Новошахтинск, ул. Рабоче-Крестьянская,
г. Новошахтинск, ул. Молодогвардейцев,
автомобильная дорога 60 ОП МЗ 60Н-176,
с. Киселево, ул. Заречная,
с. Киселево, ул. Партизанская,
с. Киселево, ул. Веселая,
с. Киселево, ул. Ростовская";"26.6";"только в установленных остановочных пунктах";"По нерегулируемым тарифам";"Автобус";"Особо малый";"1";"Euro не установлено";"29.12.2017";"ООО «Автотранс»";"346918, Ростовская область, г. Новошахтинск, ул. Советской Конституции, 7 в"
"200";"200";"504";" г. Красный Сулин – г. Новошахтинск ";"п. Новая Соколовка (г. Новошахтинск),
п. Юбилейный (г. Новошахтинск),
Н-ГРЭС";"г. Новошахтинск, ул. Базарная,
г. Новошахтинск, пр-кт. Ленина,
г. Новошахтинск, ул. Харьковская,
г. Новошахтинск, ул. Демократическая,
г. Новошахтинск, ул. Рабоче-Крестьянская,
г. Новошахтинск, ул. Молодогвардейцев,
г. Новошахтинск, ул. Пирогова,
автомобильная дорога 60 ОП РЗ 60К-167,
г. Красный Сулин, ул. Центральная,
г. Красный Сулин, ул. Сулинская,
г. Красный Сулин, ул. Вербенская,
г. Красный Сулин, ул. Московская,
г. Красный Сулин, ул. Заводская,
г. Красный Сулин, ул. Придорожная";"35.7";"только в установленных остановочных пунктах";"По нерегулируемым тарифам";"Автобус";"Малый";"1";"Euro не установлено";"19.01.2018";"ООО «Сулинавтотранс»";"346350, Ростовская область, г. Красный Сулин, ул. Металлистов, 2"
"201";"201";"374";"г. Новошахтинск – МАПП ";"Муз. школа (г. Новошахтинск),
Дворец (г. Новошахтинск),
Автовокзал (г. Новошахтинск),
Швейная фабрика (г. Новошахтинск),
г. Новошахтинск, ул. Городская,
Университетская (г. Новошахтинск),
Дом связи (г. Новошахтинск),
Микрорайон (г. Новошахтинск),
г. Новошахтинск, ул. Западная,
г. Новошахтинск, ул. Заводская,
г. Новошахтинск, ул. Лебедева,
ЖБК, (г. Новошахтинск),
г. Новошахтинск, ул. Молодогвардейцев,
г. Новошахтинск, ул. Нахимова,
г. Новошахтинск, ул. Рабоче-Крестьянская,
Ресторан (г. Новошахтинск),
Нефтезавод-1,
Нефтезавод-2";"г. Новошахтинск, ул. Базарная,
г. Новошахтинск, пр-кт. Ленина,
г. Новошахтинск, ул. Харьковская,
г. Новошахтинск, ул. Демократическая,
г. Новошахтинск, ул. Рабоче-Крестьянская,
автомобильная дорога А-270";"21.2";"только в установленных остановочных пунктах";"По нерегулируемым тарифам";"Автобус";"Особо малый";"1";"Euro не установлено";"29.12.2017";"ООО «Автотранс»";"346918, Ростовская область, г. Новошахтинск, ул. Советской Конституции, 7 в"
"202";"202";"374";"г. Новошахтинск – Нефтеперерабатывающий завод – г. Новошахтинск";"г. Новошахтинск, ул. Базарная (АС),
г. Новошахтинск, пр-кт. Ленина (Музыкальная школа),
г. Новошахтинск (Дом культуры),
г. Новошахтинск, ул. Харьковская (Автовокзал),
г. Новошахтинск, ул. Харьковская (Глория-Джинс),
г. Новошахтинск, ул. Городская,
г. Новошахтинск, ул. Харьковская (Университет),
г. Новошахтинск, ул. Харьковская (Узел связи),
г. Новошахтинск, ул. Харьковская (3-й микрорайон),
г. Новошахтинск, ул. Демократическая (ш. Запад),
г. Новошахтинск (Капитал),
г. Новошахтинск, ул. Заводская,
г. Новошахтинск, ул. Лебедева,
г. Новошахтинск (ЖБК),
г. Новошахтинск (Ресторан),
Нефтеперерабатывающий завод";"г. Новошахтинск, ул. Базарная,
г. Новошахтинск, пр-кт. Ленина,
г. Новошахтинск, ул. Харьковская,
г. Новошахтинск, ул. Демократическая,
г. Новошахтинск, ул. Рабоче-Крестьянская,
автомобильная дорога А-270";"12.5";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"Euro не установлено";"18.02.2013";"ООО «Новошахтинское ПАТП»";"346916, Ростовская область, г. Новошахтинск, ул. Трамвайная, д. 5в  "
"203";"203";"375";"г. Новошахтинск – х. Шахтенки ";"Баня (г. Новошахтинск),
Сенная (г. Новошахтинск),
Школа № 40 (г. Новошахтинск),
г. Новошахтинск, ул. Ростовская,
Сады (г. Новошахтинск),
Холодильник (г. Новошахтинск),
Горгаз (г. Новошахтинск),
Михайловка-1 (г. Новошахтинск),
Михайловка-2 (г. Новошахтинск),
г. Новошахтинск, ул. Радио,
Гортоп (г. Новошахтинск),
х. Красный (г. Новошахтинск),
Школа № 34 (г. Новошахтинск),
г. Новошахтинск, ул. Курчатова";"г. Новошахтинск, ул. Базарная,
г. Новошахтинск, пр-кт. Ленина,
г. Новошахтинск, ул. Советской Конституции,
г. Новошахтинск, ул. Мичурина,
г. Новошахтинск, ул. Ростовская,
г. Новошахтинск, ул. Вокзальная,
г. Новошахтинск, ул. Радио,
автомобильная дорога 60 ОП РЗ 60К-8,
г. Новошахтинск, ул. Коненкова,
г. Новошахтинск, пер. Желябова,
г. Новошахтинск, ул. Восточная,
г. Новошахтинск, ул. Давыдова,
г. Новошахтинск, ул. Рыбалко,
х. Шахтенки, ул. Братская";"18.5";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"Euro не установлено";"21.05.2018";"ООО «Автотранс»";"346918, Ростовская область, г. Новошахтинск, ул. Советской Конституции, 7 в"
"204";"204";"369";"г. Новошахтинск – г. Шахты";"п. Кирова (г. Новошахтинск),
п. ш. Нежданная (г. Шахты)";"г. Новошахтинск, ул. Базарная,
г. Новошахтинск, пр-кт. Ленина,
г. Новошахтинск, ул. Харьковская,
автомобильная дорога А-270,
автомобильная дорога М-4 'Дон',
г. Шахты, ул. Дачная,
г. Шахты, пер. Громова,
г. Шахты, ул. Маяковского,
г. Шахты, пр-кт. Победа Революции,
г. Шахты, пер. Комиссаровский,
г. Шахты, ул. Державина,
г. Шахты, пер. Черенкова,
г. Шахты, ул. Халтурина";"27.4";"только в установленных остановочных пунктах";"По нерегулируемым тарифам";"Автобус";"Малый";"1";"Euro не установлено";"19.01.2018";"ООО «Сулинавтотранс»";"346350, Ростовская область, г. Красный Сулин, ул. Металлистов, 2"
"205";"205";"369";"г. Новошахтинск – г. Шахты";"п. Кирова (г. Новошахтинск),
п. ш. Нежданная (г. Шахты)";"г. Новошахтинск, ул. Базарная,
г. Новошахтинск, пр-кт. Ленина,
г. Новошахтинск, ул. Харьковская,
автомобильная дорога А-270,
автомобильная дорога М-4 'Дон',
г. Шахты, ул. Дачная,
г. Шахты, пер. Громова,
г. Шахты, ул. Маяковского,
г. Шахты, пр-кт. Победа Революции,
г. Шахты, пер. Комиссаровский,
г. Шахты, ул. Державина,
г. Шахты, пер. Черенкова,
г. Шахты, ул. Халтурина";"27.4";"только в установленных остановочных пунктах";"По нерегулируемым тарифам";"Автобус";"Малый";"1";"Euro не установлено";"19.01.2018";"ООО «Сулинавтотранс»";"346350, Ростовская область, г. Красный Сулин, ул. Металлистов, 2"
"206";"206";"370/1";"г. Новошахтинск – г. Шахты – г. Новошахтинск";"1 график,
г. Новошахтинск, ул. Базарная (АС),
п. Кирова (г. Новошахтинск),
г. Шахты, ул. Дачная (Авторынок),
п.ш. Нежданная (г. Шахты),
г. Шахты, ул. Маяковского (МРЭО),
г. Шахты, мкр. Молзавод,
г. Шахты (Соцгородок),
г. Шахты, пр-кт. Карла Маркса,
г. Шахты, ул. Советская (Центр),
г. Шахты, пер. Иванова (ЖДВ),
2 график,
г. Новошахтинск, ул. Базарная (АС),
п. Кирова (г. Новошахтинск),
г. Шахты, ул. Дачная (Авторынок),
п.ш. Нежданная (г. Шахты),
г. Шахты, ул. Маяковского (МРЭО),
г. Шахты, мкр. Молзавод,
г. Шахты (Соцгородок),
г. Шахты, пр-кт. Карла Маркса,
г. Шахты, пр-кт. Карла Маркса (ТЦ 'Город Будущего'),
г. Шахты, пер. Шишкина,
г. Шахты, ул. Промышленная,
г. Шахты, ул. Текстильная,
г. Шахты, пр-кт. Ленинского Комсомола (Бассейн),
г. Шахты, пл. Артема";"1 график,
г. Новошахтинск, ул. Базарная,
г. Новошахтинск, пр-кт. Ленина,
г. Новошахтинск, ул. Харьковская,
автомобильная дорога А-270,
автомобильная дорога М-4 'Дон',
г. Шахты, ул. Дачная,
г. Шахты, пер. Громова,
г. Шахты, ул. Маяковского,
г. Шахты, пр-кт. Карла Маркса,
г. Шахты, ул. Советская,
г. Шахты, ул. Новочеркасская,
г. Шахты, ул. Ионова,
2 график,
г. Новошахтинск, ул. Базарная,
г. Новошахтинск, пр-кт. Ленина,
г. Новошахтинск, ул. Харьковская,
автомобильная дорога А-270,
автомобильная дорога М-4 'Дон',
г. Шахты, ул. Дачная,
г. Шахты, пер. Громова,
г. Шахты, ул. Маяковского,
г. Шахты, пр-кт. Карла Маркса,
г. Шахты, пер. Шишкина,
г. Шахты, ул. Промышленная,
г. Шахты, ул. Индустриальная,
г. Шахты, ул. Текстильная,
г. Шахты, пр-кт. Ленинского Комсомола";"39.5";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"2";"Euro не установлено";"18.02.2013";"ООО «Новошахтинское ПАТП»";"346916, Ростовская область, г. Новошахтинск, ул. Трамвайная, д. 5в  "
"207";"207";"281";"х. Обуховка – г. Ростов-на-Дону";"";"х. Обуховка, ул. Ленина,
автомобильная дорога 60 ОП МЗ 60Н-71,
автомобильная дорога 60 ОП МЗ 60Н-54,
х. Городище, ул. Придорожная,
х. Колузаево, ул. Степная,
г. Ростов-на-Дону, ул. Кумженская,
г. Ростов-на-Дону, ул. Всесоюзная,
г. Ростов-на-Дону, ул. Малиновского,
г. Ростов-на-Дону, ул. Пескова";"18.5";"только в установленных остановочных пунктах";"По нерегулируемым тарифам";"Автобус";"Малый";"2";"не ниже Euro-4";"05.02.2018";"ООО «АвтоЭкспресс»";"346751, Ростовская область, Азовский район, с. Самарское, пер. Промышленный, 98"
"208";"208";"208";"п. Овощной – г. Ростов-на-Дону ";"г. Батайск, ул. М.Горького (Ц. рынок)";"прямое направление:,
п. Овощной, ул. М.Горького,
г. Батайск, ул. Ейская,
г. Батайск, ул. Грузинская,
г. Батайск, ул. М.Горького,
г. Батайск, ул. Энгельса,
г. Батайск, ш. Северное,
г. Батайск, ш. Западное,
г. Батайск, ш. Восточное,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пл. Привокзальная,
обратное направление:,
г. Ростов-на-Дону, пл. Привокзальная,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, ул. Пойменная,
г. Батайск, ш. Восточное,
г. Батайск, ш. Западное,
г. Батайск, ул. Куйбышева,
г. Батайск, ул. Заводская,
г. Батайск, ул. 1-й Пятилетки,
г. Батайск, ул. М.Горького,
п. Овощной, ул. М.Горького";"24.3";"только в установленных остановочных пунктах";"По нерегулируемым тарифам";"Автобус";"Большой";"2";"Euro не установлено";"16.02.2018";"ООО «Батайское АТП-1»";"346880, Ростовская область, г. Батайск, ул. Подтопты,75"
"209";"209";"112";"п. Октябрьский – СНТ «Содружество»– п. Темерницкий – СНТ «Гайдары» (через ТЦ «АШАН» (Северный)";"х. Каменный Брод,
п. Октябрьский,
п. Щепкин,
к.п. Щепкин,
СНТ 'Луч',
г. Ростов-на-Дону, ул. Орская (Ростовское море),
г. Ростов-на-Дону, рынок Темерник,
г. Ростов-на-Дону, ул. Лелюшенко (Геркулес),
г. Ростов-на-Дону, рынок 'Квадро',
г. Ростов-на-Дону, ул. Обсерваторная (ТЦ 'АШАН'),
г. Ростов-на-Дону, снт. Союз,
п. Темерницкий,
СНТ 'Гайдары'";"автомобильная дорога 60 ОП МЗ 60Н-280,
х. Каменный Брод, ул. Каменка,
п. Октябрьский, ул. Ленина,
автомобильная дорога 60 ОП МЗ 60Н-79,
автомобильная дорога 60 ОП РЗ 60К-74,
п. Щепкин, ул. Советская,
п. Щепкин, ул. Первомайская,
п. Щепкин, ул. Адмирала Ушакова,
п. Щепкин, ул. Адмирала Макарова,
п. Щепкин, ул. Адмирала Сорокина,
п. Щепкин, ул. Советская,
автомобильная дорога 60 ОП РЗ 60К-74,
г. Ростов-на-Дону, пер. Алябьева,
г. Ростов-на-Дону, ул. Орская,
г. Ростов-на-Дону, ул. Вятская,
г. Ростов-на-Дону, пер. Днепровский,
г. Ростов-на-Дону, ул. Каскадная,
г. Ростов-на-Дону, ул. Лелюшенко,
г. Ростов-на-Дону, ул. Армянская,
г. Ростов-на-Дону, пр-кт. Королева,
г. Ростов-на-Дону, пр-кт. Космонавтов,
г. Ростов-на-Дону, ул. Орбитальная,
автомобильная дорога 60 ОП РЗ 60К-5,
п. Верхнетемерницкий, ул. Обсерваторная,
СТ 'Сигнал', ул. 1-я Линия,
СНТ 'Гайдары', ул. 1-я Линия";"46.2";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"3";"Euro не установлено";"30.07.2014";"ООО «Аксай-Авто»";"346711, Ростовская область, Аксайский район, п. Опытный, ул. Центральная, 35"
"210";"210";"225";"ст. Ольгинская – г. Ростов-на-Дону ";"г. Ростов-на-Дону, пр-кт. 40-летия Победы";"ст-ца. Ольгинская, ул. Ленина,
автомобильная дорога 60 ОП РЗ 60К-73,
автомобильная дорога М-4 'Дон',
г. Ростов-на-Дону, пр-кт. 40-летия Победы";"15.5";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"не ниже Euro-2";"21.05.2018";"ООО «Кварта»";"346720, Ростовская область, г. Аксай, ул. Промышленная, 5"
"211";"211";"357";"п. Персиановский – г. Аксай (ТЦ «Мега»)";"г. Новочеркасск, НЭВЗ,
г. Новочеркасск, Хотунок-2,
п. Красный Колос,
п. Рассвет";"п. Персиановский, ул. Школьная,
автомобильная дорога 60 ОП МЗ 60Н-248,
г. Новочеркасск, ш. Харьковское,
г. Новочеркасск, ул. Калинина,
г. Новочеркасск, ул. Мацоты,
г. Новочеркасск, ул. Спортивная,
г. Новочеркасск, ул. Высоковольтная,
г. Новочеркасск, ул. Привокзальная,
г. Новочеркасск, ул. Трамвайная,
г. Новочеркасск, ул. Гагарина,
г. Новочеркасск, спуск. Герцена,
г. Новочеркасск, пл. Троицкая,
г. Новочеркасск, пр-кт. Баклановский,
г. Новочеркасск, пл. Юбилейная,
г. Новочеркасск, пр-кт. Баклановский,
г. Новочеркасск, ул. Ростовское шоссе,
автомобильная дорога 60 ОП РЗ 60К-76,
автомобильная дорога М-4 'Дон',
г. Аксай, пр-кт. Аксайский";"39.2";"только в установленных остановочных пунктах";"По нерегулируемым тарифам";"Автобус";"Малый";"4";"не ниже Euro-4";"05.02.2018";"ООО «Новочеркасские пассажирские перевозки»";"346421, Ростовская область, г. Новочеркасск, ул. Буденновская, 192"
